#  step      rmse_trn    rmse_e_trn    rmse_f_trn         lr
  36600      2.27e+00      5.14e-02      8.60e-02    6.9e-04
  36700      1.90e+00      3.86e-02      7.20e-02    6.9e-04
  36800      1.72e+00      3.26e-02      6.52e-02    6.9e-04
  36900      1.57e+00      2.66e-02      5.95e-02    6.9e-04
  37000      2.85e+00      4.43e-02      1.08e-01    6.9e-04
  37100      2.04e+00      3.07e-02      7.72e-02    6.9e-04
  37200      2.11e+00      2.37e-02      8.01e-02    6.9e-04
  37300      1.87e+00      3.55e-02      7.10e-02    6.9e-04
  37400      1.62e+00      2.63e-02      6.15e-02    6.9e-04
  37500      2.29e+00      4.47e-02      8.68e-02    6.9e-04
  37600      1.41e+00      3.26e-02      5.34e-02    6.9e-04
  37700      1.91e+00      5.21e-02      7.24e-02    6.9e-04
  37800      1.78e+00      3.51e-02      6.76e-02    6.9e-04
  37900      9.62e-01      2.58e-02      3.65e-02    6.9e-04
  38000      1.78e+00      4.53e-02      6.74e-02    6.9e-04
  38100      1.98e+00      2.02e-02      7.52e-02    6.9e-04
  38200      1.17e+00      2.67e-02      4.45e-02    6.9e-04
  38300      1.40e+00      1.39e-02      5.30e-02    6.9e-04
  38400      1.57e+00      2.42e-02      5.97e-02    6.9e-04
  38500      1.68e+00      3.48e-02      6.39e-02    6.9e-04
  38600      1.90e+00      4.82e-02      7.22e-02    6.9e-04
  38700      1.48e+00      3.17e-02      5.63e-02    6.9e-04
  38800      2.31e+00      3.16e-02      8.76e-02    6.9e-04
  38900      1.65e+00      3.43e-02      6.28e-02    6.9e-04
  39000      1.58e+00      4.22e-02      6.00e-02    6.9e-04
  39100      1.99e+00      3.52e-02      7.56e-02    6.9e-04
  39200      1.41e+00      3.51e-02      5.33e-02    6.9e-04
  39300      1.78e+00      4.40e-02      6.76e-02    6.9e-04
  39400      1.41e+00      4.48e-02      5.34e-02    6.9e-04
  39500      1.92e+00      3.05e-02      7.27e-02    6.9e-04
  39600      2.03e+00      5.57e-02      7.68e-02    6.9e-04
  39700      1.20e+00      1.50e-02      4.55e-02    6.9e-04
  39800      1.94e+00      3.59e-02      7.37e-02    6.9e-04
  39900      1.55e+00      3.71e-02      5.88e-02    6.9e-04
  40000      1.15e+00      4.03e-02      4.46e-02    6.6e-04
  40100      1.57e+00      3.08e-02      6.13e-02    6.6e-04
  40200      9.32e-01      2.95e-02      3.63e-02    6.6e-04
  40300      2.01e+00      3.29e-02      7.84e-02    6.6e-04
  40400      2.45e+00      4.02e-02      9.55e-02    6.6e-04
  40500      1.46e+00      4.91e-02      5.67e-02    6.6e-04
  40600      1.38e+00      3.18e-02      5.37e-02    6.6e-04
  40700      1.49e+00      2.87e-02      5.82e-02    6.6e-04
  40800      1.77e+00      3.73e-02      6.87e-02    6.6e-04
  40900      1.97e+00      2.94e-02      7.65e-02    6.6e-04
  41000      1.18e+00      3.57e-02      4.60e-02    6.6e-04
