#  step      rmse_trn    rmse_e_trn    rmse_f_trn         lr
  26500      1.86e+00      2.60e-02      6.71e-02    7.7e-04
  26600      2.01e+00      2.64e-02      7.25e-02    7.7e-04
  26700      1.67e+00      1.57e-02      6.02e-02    7.7e-04
  26800      1.04e+00      1.46e-02      3.76e-02    7.7e-04
  26900      1.28e+00      2.11e-02      4.62e-02    7.7e-04
  27000      1.84e+00      2.13e-02      6.64e-02    7.7e-04
  27100      1.32e+00      1.56e-02      4.76e-02    7.7e-04
  27200      2.31e+00      2.83e-02      8.32e-02    7.7e-04
  27300      6.86e-01      2.38e-02      2.47e-02    7.7e-04
  27400      1.59e+00      2.41e-02      5.73e-02    7.7e-04
  27500      1.80e+00      2.27e-02      6.47e-02    7.7e-04
  27600      1.66e+00      1.93e-02      5.96e-02    7.7e-04
  27700      2.54e+00      3.49e-02      9.13e-02    7.7e-04
  27800      1.40e+00      1.88e-02      5.04e-02    7.7e-04
  27900      2.10e+00      9.33e-03      7.58e-02    7.7e-04
  28000      1.58e+00      1.98e-02      5.68e-02    7.7e-04
  28100      1.51e+00      2.00e-02      5.42e-02    7.7e-04
  28200      1.51e+00      2.08e-03      5.42e-02    7.7e-04
  28300      2.00e+00      1.93e-02      7.18e-02    7.7e-04
  28400      1.70e+00      1.63e-02      6.11e-02    7.7e-04
  28500      2.01e+00      1.02e-02      7.23e-02    7.7e-04
  28600      1.12e+00      1.48e-02      4.04e-02    7.7e-04
  28700      1.76e+00      1.56e-02      6.34e-02    7.7e-04
  28800      1.81e+00      9.13e-03      6.52e-02    7.7e-04
  28900      2.01e+00      1.64e-02      7.22e-02    7.7e-04
  29000      1.65e+00      3.05e-02      5.95e-02    7.7e-04
  29100      1.28e+00      8.29e-03      4.61e-02    7.7e-04
  29200      1.33e+00      1.62e-02      4.78e-02    7.7e-04
  29300      1.96e+00      2.05e-02      7.07e-02    7.7e-04
  29400      1.35e+00      2.63e-02      4.86e-02    7.7e-04
  29500      1.46e+00      1.99e-02      5.25e-02    7.7e-04
  29600      1.68e+00      2.56e-02      6.04e-02    7.7e-04
  29700      1.70e+00      3.03e-02      6.11e-02    7.7e-04
  29800      1.55e+00      4.58e-02      5.59e-02    7.7e-04
  29900      2.03e+00      9.94e-03      7.30e-02    7.7e-04
  30000      1.38e+00      2.43e-02      5.11e-02    7.3e-04
  30100      1.19e+00      6.40e-03      4.41e-02    7.3e-04
  30200      7.73e-01      2.65e-02      2.85e-02    7.3e-04
  30300      1.83e+00      2.98e-02      6.76e-02    7.3e-04
  30400      1.03e+00      2.44e-02      3.82e-02    7.3e-04
  30500      1.76e+00      3.62e-02      6.49e-02    7.3e-04
  30600      1.21e+00      1.31e-02      4.47e-02    7.3e-04
  30700      1.96e+00      2.46e-02      7.25e-02    7.3e-04
  30800      1.68e+00      3.25e-02      6.22e-02    7.3e-04
  30900      1.92e+00      1.74e-02      7.09e-02    7.3e-04
  31000      1.36e+00      1.50e-02      5.01e-02    7.3e-04
  31100      1.59e+00      8.77e-03      5.87e-02    7.3e-04
  31200      1.53e+00      1.38e-02      5.65e-02    7.3e-04
  31300      1.40e+00      2.85e-02      5.17e-02    7.3e-04
  31400      1.18e+00      1.62e-02      4.35e-02    7.3e-04
  31500      1.21e+00      7.60e-03      4.45e-02    7.3e-04
  31600      1.36e+00      4.87e-03      5.03e-02    7.3e-04
  31700      1.12e+00      3.43e-02      4.15e-02    7.3e-04
  31800      1.64e+00      1.85e-02      6.08e-02    7.3e-04
  31900      1.70e+00      3.90e-02      6.28e-02    7.3e-04
  32000      1.48e+00      1.31e-02      5.49e-02    7.3e-04
  32100      1.43e+00      1.78e-02      5.29e-02    7.3e-04
  32200      1.75e+00      2.49e-02      6.46e-02    7.3e-04
  32300      1.86e+00      4.06e-02      6.88e-02    7.3e-04
  32400      1.40e+00      1.41e-02      5.18e-02    7.3e-04
  32500      1.53e+00      2.85e-02      5.65e-02    7.3e-04
  32600      1.60e+00      1.39e-02      5.92e-02    7.3e-04
  32700      1.27e+00      2.55e-02      4.68e-02    7.3e-04
  32800      1.22e+00      3.83e-02      4.49e-02    7.3e-04
  32900      1.32e+00      8.14e-03      4.88e-02    7.3e-04
  33000      1.23e+00      1.46e-02      4.55e-02    7.3e-04
  33100      1.44e+00      1.40e-02      5.30e-02    7.3e-04
